Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
26,2,2602,26-2,Oh,5,Tracy & O'Brien,3,4,9,4,8,3,4,5,,,,,4,,,1,,,,,,,,,,,,3,,,,,,,,,,
26,3,2603,26-3,Tie: Tracy/Tinney/Wolfe,2,Oh & Tracy,2,5,7,5,5,1,8,1,,2,2,,2,,,,2,,,1,,,,,,,,,,,,,,1,1,,,
26,4,2604,26-4,O'Brien,2,O'Brien & Taubenberger,2,6,2,3,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,
26,5,2605,26-5,Tie: Oh/O'Brien/Tracy/Wolfe,1,Tie: Williams & Tracy/Tracy & O'Brien,1,7,4,2,8,1,2,1,1,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,
26,6,2606,26-6,Oh,3,Oh & Tinney,1,9,5,1,5,3,11,3,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
26,7,2607,26-7,Tie: O'Brien/Tracy,2,Tie: Oh & Tinney/Oh & Taubenberger/Williams & Tracy,1,2,5,3,3,1,5,,2,2,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,
26,8,2608,26-8,Oh,5,Tie: Oh & Tracy/Oh & Williams,2,8,7,8,6,8,12,5,1,1,,,,,,,2,,,1,2,1,1,,,,,,,1,,,,,,,,
26,9,2609,26-9,Tie: Oh/O'Brien/Tinney/Williams,1,Tie: Oh & Wolfe/Williams & Tracy/Tracy & O'Brien/Tracy & Taubenberger/Taubenberger & Wolfe,1,4,4,5,5,1,6,1,1,,1,,,1,,,,,,1,,1,,,,,,1,1,,,,,,,1,,
26,10,2610,26-10,Tie: Oh/Tinney/Williams,1,,0,7,3,,3,2,4,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
26,11,2611,26-11,Oh,1,Oh & Tinney,1,,1,1,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
26,12,2612,26-12,Tie: Oh/Wolfe,2,Tracy & O'Brien,2,1,6,2,3,6,7,2,,,1,,2,1,,,,,,,,,,,,,,2,,,,,,,,,,
26,13,2613,26-13,Tracy,2,Tie: Oh & Tracy/O'Brien & Taubenberger,1,3,4,2,2,1,4,1,,2,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
26,14,2614,26-14,Oh,2,Tinney & Wolfe,1,,2,1,6,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
26,15,2615,26-15,Oh,2,Taubenberger & Wolfe,1,2,2,1,7,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
26,16,2616,26-16,Tie: Oh/Wolfe,1,,0,1,2,,3,4,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
26,17,2617,26-17,,0,Tie: Oh & Tinney/Tracy & Tinney,1,2,,2,5,,6,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
26,18,2618,26-18,Tinney,2,Tie: Oh & O'Brien/Williams & Tracy/Tinney & O'Brien/Tinney & Taubenberger,1,2,3,4,3,,5,1,,,2,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,
26,19,2619,26-19,Oh,5,Oh & Tracy,2,3,12,4,9,8,6,5,2,1,2,,1,1,,1,2,,,1,,,,,,,,,,,,,,,,,,
26,20,2620,26-20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,21,2621,26-21,Williams,1,Tie: Oh & Tracy/Tracy & Tinney/Tinney & O'Brien,1,8,1,3,5,1,5,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,
26,22,2622,26-22,Tracy,1,Oh & O'Brien,1,1,1,1,3,1,3,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
26,23,2623,26-23,Oh,3,Tie: Oh & Tracy/Tracy & Wolfe,2,3,5,6,2,5,1,3,,2,,,,,,,2,,1,,1,,,,,,,,,2,,,,,,,,
27,1,2701,27-1,,0,,0,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,2702,27-2,Wolfe,3,,0,,3,,1,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,2703,27-3,,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,2704,27-4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5,2705,27-5,Wolfe,1,,0,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,2706,27-6,O'Brien,1,,0,,1,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7,2707,27-7,Wolfe,4,Oh & Wolfe,1,,4,1,2,1,2,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,
27,8,2708,27-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,9,2709,27-9,,0,Tracy & O'Brien,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
27,10,2710,27-10,Tracy,1,,0,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,11,2711,27-11,,0,,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12,2712,27-12,Wolfe,2,,0,,3,,2,,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
27,13,2713,27-13,Wolfe,3,Tracy & Wolfe,1,,3,1,1,2,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,
27,14,2714,27-14,Wolfe,1,,0,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,15,2715,27-15,,0,Tie: Oh & Williams/Taubenberger & Wolfe,1,,,2,,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
27,16,2716,27-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,17,2717,27-17,,0,Oh & Wolfe,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
27,18,2718,27-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,19,2719,27-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,20,2720,27-20,O'Brien,1,,0,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21,2721,27-21,,0,Oh & Wolfe,1,1,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
27,22,2722,27-22,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,23,2723,27-23,Wolfe,2,Oh & Wolfe,1,,3,1,1,3,8,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,
28,1,2801,28-1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,2802,28-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,2803,28-3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4,2804,28-4,Tinney,1,,0,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5,2805,28-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,2806,28-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7,2807,28-7,O'Brien,1,,0,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8,2808,28-8,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9,2809,28-9,,0,Oh & Williams,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
28,10,2810,28-10,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11,2811,28-11,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12,2812,28-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,13,2813,28-13,,0,Oh & Tracy,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
28,14,2814,28-14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15,2815,28-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,16,2816,28-16,,0,,0,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,17,2817,28-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,18,2818,28-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,2901,29-1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,2902,29-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,2903,29-3,Wolfe,1,,0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,2904,29-4,Oh,1,Williams & Wolfe,1,,1,1,1,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
29,5,2905,29-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,2906,29-6,,0,,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7,2907,29-7,Tie: Tracy/Tinney,1,,0,1,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8,2908,29-8,,0,,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9,2909,29-9,Oh,1,Williams & Wolfe,1,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
29,10,2910,29-10,,0,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,11,2911,29-11,Tracy,1,,0,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,12,2912,29-12,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,13,2913,29-13,Tracy,2,Tracy & Wolfe,1,,2,1,1,,1,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
29,14,2914,29-14,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15,2915,29-15,,0,Tinney & Wolfe,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
29,16,2916,29-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,17,2917,29-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,18,2918,29-18,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,3001,30-1,,0,Oh & Williams,1,2,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
30,2,3002,30-2,Williams,1,,0,1,1,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
30,3,3003,30-3,,0,Williams & Tracy,1,,,1,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,4,3004,30-4,Tie: Oh/Tracy,1,,0,,2,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5,3005,30-5,,0,,0,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,3006,30-6,,0,Tie: Oh & Williams/Tracy & Wolfe,1,1,,2,5,,3,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
30,7,3007,30-7,Tie: Oh/O'Brien/Tracy,1,Tracy & Wolfe,5,,3,5,3,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
30,8,3008,30-8,Wolfe,1,Tie: Oh & Tracy/Tracy & Wolfe,2,1,1,5,1,,3,,,,,,1,,,,2,,1,,,,,,,,,,,2,,,,,,,,
30,9,3009,30-9,Tracy,1,,0,1,1,,5,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,3010,30-10,,0,Tie: Oh & Taubenberger/Tracy & Wolfe,1,,,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
30,11,3011,30-11,Tracy,2,,0,,2,,2,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,3012,30-12,Oh,1,,0,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,13,3013,30-13,Williams,1,Tie: Oh & Tracy/Taubenberger & Wolfe,1,1,1,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,
30,14,3014,30-14,Oh,1,,0,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,15,3015,30-15,Oh,1,Williams & Tracy,1,1,1,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,16,3016,30-16,Oh,1,Tracy & Wolfe,2,,1,2,3,,5,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
30,17,3017,30-17,Tie: Oh/Wolfe,1,Tie: Oh & Tracy/Tinney & Wolfe,1,2,2,2,2,1,7,1,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,
31,1,3101,31-1,,0,,0,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,3102,31-2,,0,Tie: Oh & O'Brien/Oh & Taubenberger/Tinney & O'Brien,1,1,,3,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,
31,3,3103,31-3,Tinney,2,Tinney & O'Brien,1,,2,1,1,,5,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,
31,4,3104,31-4,Oh,2,Tinney & Wolfe,2,1,4,4,8,2,8,2,,,1,,1,,,,1,1,,,,,,,,,,,,,,,2,,,,,
31,5,3105,31-5,Tinney,4,Tie: Oh & Tracy/Williams & Tracy,1,2,6,2,5,1,5,1,,1,4,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
31,6,3106,31-6,Williams,2,Tie: Oh & O'Brien/Williams & Tinney/Tinney & O'Brien/Tinney & Taubenberger,1,4,3,4,3,,1,,,,,,1,2,,1,,,,,,,1,,,,,,,,1,1,,,,,,
31,7,3107,31-7,Tinney,3,Tie: Oh & Tracy/Oh & Tinney,1,6,5,2,6,,4,1,1,,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
31,8,3108,31-8,Tie: O'Brien/Tinney,2,Oh & Tracy,1,4,6,1,4,,1,1,2,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
31,9,3109,31-9,Wolfe,1,Tie: Williams & Tracy/Williams & O'Brien,1,,1,2,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,
31,10,3110,31-10,O'Brien,3,,0,,5,,,,3,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
31,11,3111,31-11,Oh,3,,0,1,5,,3,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,12,3112,31-12,O'Brien,1,,0,,1,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,13,3113,31-13,Tinney,2,Tie: Oh & Tinney/Oh & Taubenberger,1,,4,2,4,,3,,1,1,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
31,14,3114,31-14,O'Brien,1,Tie: Tracy & Taubenberger/O'Brien & Wolfe,1,1,1,2,5,1,7,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
31,15,3115,31-15,Oh,2,Tie: Oh & Tracy/Oh & Taubenberger,1,6,6,2,4,1,8,2,1,1,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,
31,16,3116,31-16,Oh,5,Tie: Oh & O'Brien/Oh & Tinney,1,3,12,2,3,2,8,5,2,1,4,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
31,17,3117,31-17,Tie: Oh/Taubenberger/Williams,1,Tie: Oh & O'Brien/Tracy & Tinney/Taubenberger & Wolfe,1,2,3,3,,1,7,1,,,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,
31,18,3118,31-18,Tinney,10,Tie: Williams & Tracy/Tracy & Tinney/Tinney & O'Brien,1,2,12,3,2,,3,,,1,10,,,1,,,,,,,,1,,,,,1,,,,1,,,,,,,
31,19,3119,31-19,Williams,3,Oh & Tracy,2,5,7,6,,1,3,2,,,2,,,3,,,2,1,,,,,,,,,1,,,,1,,,,,1,,
32,1,3201,32-1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,3202,32-2,,0,,0,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3,3203,32-3,,0,,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4,3204,32-4,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,3205,32-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6,3206,32-6,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32,7,3207,32-7,,0,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,3208,32-8,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9,3209,32-9,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10,3210,32-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,11,3211,32-11,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12,3212,32-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13,3213,32-13,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,14,3214,32-14,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15,3215,32-15,Tracy,2,,0,,3,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32,16,3216,32-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,17,3217,32-17,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,18,3218,32-18,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32,19,3219,32-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20,3220,32-20,,0,Tinney & O'Brien,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
32,21,3221,32-21,,0,Williams & Wolfe,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
32,22,3222,32-22,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23,3223,32-23,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,24,3224,32-24,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,25,3225,32-25,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,26,3226,32-26,,0,,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,27,3227,32-27,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,28,3228,32-28,Williams,1,,0,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32,29,3229,32-29,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,30,3230,32-30,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,31,3231,32-31,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,3301,33-1,Oh,2,,0,3,4,,3,1,2,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
33,2,3302,33-2,Tie: O'Brien/Tracy/Tinney/Williams,1,,0,1,4,,,1,3,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
33,3,3303,33-3,Oh,2,Oh & Tracy,1,2,5,1,2,1,,2,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
33,4,3304,33-4,Tracy,1,Oh & O'Brien,1,,1,1,1,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
33,5,3305,33-5,Oh,1,Tinney & O'Brien,1,,1,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
33,6,3306,33-6,Tie: Oh/Taubenberger/Wolfe,1,,0,1,3,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
33,7,3307,33-7,Williams,1,Williams & O'Brien,1,,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
33,8,3308,33-8,O'Brien,2,,0,1,3,,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9,3309,33-9,,0,Tinney & O'Brien,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
33,10,3310,33-10,Tracy,1,Oh & Wolfe,1,1,1,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
33,11,3311,33-11,Oh,2,Oh & Tinney,1,,2,1,1,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
33,12,3312,33-12,Oh,1,Oh & Tracy,1,,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
33,13,3313,33-13,Oh,1,,0,2,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,14,3314,33-14,,0,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,3315,33-15,,0,Tinney & O'Brien,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
33,16,3316,33-16,Oh,1,,0,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,17,3317,33-17,,0,,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,18,3318,33-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,19,3319,33-19,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
33,20,3320,33-20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,21,3321,33-21,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,22,3322,33-22,Tracy,1,,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,23,3323,33-23,Tinney,1,,0,1,1,,1,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,24,3324,33-24,Oh,2,,0,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,3401,34-1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,3402,34-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,3403,34-3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,3404,34-4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,3405,34-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6,3406,34-6,,0,Williams & Tracy,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
34,7,3407,34-7,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,8,3408,34-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9,3409,34-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,10,3410,34-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11,3411,34-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,12,3412,34-12,Tinney,1,,0,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,13,3413,34-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,14,3414,34-14,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15,3415,34-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,16,3416,34-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,17,3417,34-17,Williams,2,,0,1,2,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
34,18,3418,34-18,,0,Oh & Tinney,1,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
34,19,3419,34-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20,3420,34-20,Tinney,1,,0,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,21,3421,34-21,Oh,2,Oh & Williams,1,,2,1,1,,3,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
34,22,3422,34-22,,0,Oh & Taubenberger,2,1,,2,1,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
34,23,3423,34-23,Tie: Oh/Williams,1,Tie: Oh & Tracy/Oh & Wolfe,1,1,2,2,4,1,8,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
34,24,3424,34-24,O'Brien,1,Oh & Tracy,2,,1,2,,,2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
34,25,3425,34-25,Wolfe,1,Tracy & Wolfe,1,1,1,1,1,2,4,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
34,26,3426,34-26,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,27,3427,34-27,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,28,3428,34-28,,0,Williams & Tracy,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
34,29,3429,34-29,,0,,0,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,30,3430,34-30,,0,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,31,3431,34-31,,0,Tie: Williams & Tracy/Taubenberger & Wolfe,1,2,,2,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
34,32,3432,34-32,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
