,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
6-13,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-16,0,3,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-17,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-18,0,1,1,1,0,0,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-1,0,2,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
7-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-3,0,1,1,0,0,0,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
7-4,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-5,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-9,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
