,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
35-1,1,8,2,5,2,9,1,,2,2,3,,,,,,,1,,,,,,,,,,,,,,,,,1,,
35-2,1,10,4,4,3,12,2,1,,1,5,1,,,,1,,,,,,,,,,,,,,,,,2,1,,,
35-3,1,2,3,7,0,5,,2,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,
35-4,1,4,1,3,1,9,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,
35-5,4,14,13,13,4,21,1,1,2,,7,2,1,,,,2,,,,2,,,1,,,1,,,,1,1,,1,4,,
35-6,0,6,1,4,1,4,2,2,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,
35-7,0,4,2,7,3,5,1,1,,,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,
35-8,3,2,1,2,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
35-9,2,1,0,1,0,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-10,1,2,0,5,1,4,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
35-11,0,0,2,2,0,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
35-12,1,1,2,3,1,4,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
35-13,0,2,0,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-14,0,3,0,1,0,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
35-15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-16,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-17,0,1,0,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
35-18,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
35-19,1,0,1,0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
35-20,1,1,3,2,1,6,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,,
35-21,1,2,0,2,1,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
35-22,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-23,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-24,0,0,1,2,0,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
35-25,4,1,0,2,1,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
35-26,2,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-27,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-28,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-29,0,1,0,0,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
35-30,0,4,1,2,0,1,3,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
35-31,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-32,5,4,3,6,3,5,2,,,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-4,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
36-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-7,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-8,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-10,,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-11,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
36-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-14,,3,2,1,2,1,1,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,
36-15,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-17,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-18,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-20,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-22,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-23,,2,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36-24,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-25,2,2,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-26,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36-27,2,4,1,1,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
36-28,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
36-29,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-30,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-31,1,2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-32,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-33,1,1,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
36-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-35,2,2,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
36-36,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-37,2,2,1,2,1,3,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
36-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-39,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
36-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-41,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-4,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-5,1,0,1,0,0,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
37-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-7,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
37-8,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-10,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-12,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-13,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-15,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-16,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-19,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-20,1,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-21,1,2,0,0,0,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-2,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-6,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-7,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-9,1,2,0,1,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
38-10,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-11,0,0,4,1,1,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,
38-12,2,3,2,1,1,3,2,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,
38-13,0,2,3,6,0,4,2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
38-14,1,2,1,4,0,3,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
38-15,0,1,0,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
38-16,2,2,1,1,1,0,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,
38-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-18,2,3,1,2,0,4,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
38-19,0,1,0,1,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
38-20,2,2,1,2,0,6,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38-21,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-1,1,4,1,1,,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
39-2,,1,3,,,2,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,
39-3,1,3,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
39-4,2,2,,4,1,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
39-5,1,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-6,0,1,1,0,0,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39-7,1,3,1,2,1,3,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
39-8,1,2,1,1,,3,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
39-9,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-10,2,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-12,1,2,1,5,,3,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
39-13,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-14,5,9,3,8,5,8,5,,1,,1,2,,,1,1,,,,,,,,,,,,,,,1,,,,,,
39-15,2,5,1,1,,2,4,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
39-16,1,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-17,1,,1,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
39-18,2,7,1,1,2,2,3,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
39-19,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-20,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-21,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-23,1,2,1,1,,4,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
39-24,3,3,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-25,2,2,2,1,,3,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,
39-26,3,3,1,5,1,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
39-27,,1,,2,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-28,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-29,1,2,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39-30,,1,1,2,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
39-31,,4,1,14,,3,,,2,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
39-32,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-33,4,3,1,3,1,2,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
39-34,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-35,1,4,2,,1,2,1,2,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
39-36,2,3,2,3,,,1,,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
39-37,2,2,1,5,,4,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
39-38,1,3,2,,,2,2,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
39-39,,2,1,2,,5,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
39-40,2,2,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
39-41,5,2,3,6,1,3,1,,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,
39-42,2,6,4,2,,6,3,,2,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,,
39-43,1,4,1,2,,6,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
39-44,,2,,3,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-45,2,2,1,3,2,2,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
39-46,5,7,3,3,3,7,3,1,1,,,2,,,1,,,,,,,,,,,1,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-01,1,1,,2,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-04,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-06,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-07,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-09,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-10,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-11,1,4,,,1,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
40-12,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-13,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
40-14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-16,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-17,1,2,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
40-18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-19,3,3,,2,3,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
40-20,,2,1,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
40-21,1,2,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
40-22,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-23,1,1,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-24,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-25,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-26,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-28,,1,,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-29,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-30,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
40-31,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-32,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40-33,,2,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40-34,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
40-35,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
40-36,1,1,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
40-37,1,1,1,3,,5,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
40-38,,1,1,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40-39,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-40,,2,,1,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
40-41,,1,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-42,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-43,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-45,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-46,,1,,2,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-48,,3,,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-49,1,1,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-50,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
40-51,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-2,0,1,1,3,0,3,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
41-3,1,3,0,1,0,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-4,2,6,0,3,0,7,1,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
41-5,1,1,0,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-6,0,1,1,4,0,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
41-7,0,4,2,2,0,5,2,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,
41-8,1,3,3,0,0,4,1,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,
41-9,0,3,0,0,0,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-10,2,5,0,0,0,2,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
41-11,0,3,2,5,0,5,1,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
41-12,0,1,2,5,0,4,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
41-13,3,5,5,3,2,3,1,1,2,,,1,,,,1,1,,,1,,,,,,,,,,1,,,,,1,,
41-14,0,2,0,0,0,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
41-15,1,4,3,6,4,3,3,,,,,,1,,1,,,,,,1,,,,,,,,,,1,,,,,,
41-16,1,1,0,0,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
41-17,2,3,2,4,3,6,2,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,
41-18,1,3,3,0,2,8,1,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,1,,
41-19,0,3,1,6,1,5,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
41-20,0,1,2,2,1,3,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
41-21,0,0,1,4,1,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
41-22,1,3,0,1,2,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-23,3,2,1,5,2,8,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
41-24,0,3,2,1,1,4,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
41-25,1,2,3,4,0,6,,,,,1,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,
41-26,1,3,3,2,1,2,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-1,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-2,0,1,0,1,0,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
42-3,1,1,0,2,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-4,1,0,1,0,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
42-5,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-6,3,1,2,1,0,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
42-7,2,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-8,1,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
42-9,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-10,2,2,0,0,0,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
42-11,2,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-14,0,2,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-15,2,1,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-16,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-17,0,0,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
42-18,0,2,1,3,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
42-19,0,0,1,0,0,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
42-20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-21,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-22,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-23,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-24,1,0,1,4,1,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
42-25,0,0,1,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-3,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-4,1,2,0,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
43-5,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-6,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-7,1,2,0,0,0,0,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
43-8,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-9,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-11,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-12,0,1,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-13,0,0,1,1,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
43-14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-15,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-17,1,1,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-18,0,1,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
43-19,0,0,1,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
43-20,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-21,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
